Considering the following 400 assemblies for download:
GCF_003855535.1	Klebsiella pneumoniae
GCF_003855555.1	Klebsiella pneumoniae
GCF_003856475.1	Klebsiella pneumoniae
GCF_003856595.1	Klebsiella pneumoniae
GCF_003931835.1	Klebsiella pneumoniae
GCF_003932915.1	Klebsiella pneumoniae
GCF_003934185.1	Klebsiella pneumoniae
GCF_003940845.1	Klebsiella pneumoniae
GCF_003953905.1	Klebsiella pneumoniae
GCF_004006035.1	Klebsiella pneumoniae
GCF_004010995.1	Klebsiella pneumoniae
GCF_004014965.1	Klebsiella pneumoniae
GCF_004118955.1	Klebsiella pneumoniae
GCF_004119955.1	Klebsiella pneumoniae
GCF_004119975.1	Klebsiella pneumoniae
GCF_004119995.1	Klebsiella pneumoniae
GCF_004120015.1	Klebsiella pneumoniae
GCF_004120035.1	Klebsiella pneumoniae
GCF_004120055.1	Klebsiella pneumoniae
GCF_004120075.1	Klebsiella pneumoniae
GCF_004120095.1	Klebsiella pneumoniae
GCF_004120115.1	Klebsiella pneumoniae
GCF_004120135.1	Klebsiella pneumoniae
GCF_004120155.1	Klebsiella pneumoniae
GCF_004120175.1	Klebsiella pneumoniae
GCF_004135795.1	Klebsiella pneumoniae
GCF_004137665.1	Klebsiella pneumoniae
GCF_004138665.1	Klebsiella pneumoniae
GCF_004208475.1	Klebsiella pneumoniae
GCF_900323945.1	Klebsiella pneumoniae
GCF_900497055.1	Klebsiella pneumoniae
GCF_900622605.1	Klebsiella pneumoniae
GCF_900622645.1	Klebsiella pneumoniae
GCF_900635125.1	Klebsiella pneumoniae
GCF_900635925.1	Klebsiella pneumoniae
GCF_900635945.1	Klebsiella pneumoniae
GCF_000019565.1	Klebsiella variicola
GCF_000025465.1	Klebsiella variicola At-22
GCF_000812205.2	Klebsiella variicola
GCF_000828055.2	Klebsiella variicola
GCF_001969305.1	Klebsiella variicola
GCF_001989495.1	Klebsiella variicola
GCF_001989515.1	Klebsiella variicola
GCF_001989535.1	Klebsiella variicola
GCF_002156765.1	Klebsiella variicola
GCF_002164805.2	Klebsiella variicola
GCF_002852915.3	Klebsiella variicola
GCF_003285185.1	Klebsiella variicola
GCF_003290425.1	Klebsiella variicola
GCF_003429625.1	Klebsiella variicola
GCF_004014895.1	Klebsiella variicola
GCF_900622585.1	Klebsiella variicola
GCF_900622595.1	Klebsiella variicola
GCF_900622615.1	Klebsiella variicola
GCF_900622625.1	Klebsiella variicola
GCF_000240325.1	Klebsiella michiganensis KCTC 1686
GCF_000276705.2	Klebsiella michiganensis E718
GCF_000632415.1	Klebsiella michiganensis HKOPL1
GCF_000724525.1	Klebsiella michiganensis
GCF_000963575.1	Klebsiella michiganensis
GCF_002216835.1	Klebsiella michiganensis
GCF_002290285.1	Klebsiella michiganensis
GCF_003074075.1	Klebsiella michiganensis
GCF_004102625.1	Klebsiella michiganensis
GCF_001278905.1	Klebsiella quasipneumoniae
GCF_001280925.1	Klebsiella quasipneumoniae
GCF_001596075.2	Klebsiella quasipneumoniae
GCF_002187935.3	Klebsiella quasipneumoniae subsp. similipneumoniae
GCF_002239895.2	Klebsiella quasipneumoniae
GCF_002240295.1	Klebsiella quasipneumoniae
GCF_002953295.1	Klebsiella quasipneumoniae
GCF_003020825.1	Klebsiella quasipneumoniae
GCF_003146635.1	Klebsiella quasipneumoniae
GCF_003146655.1	Klebsiella quasipneumoniae
GCF_003146685.1	Klebsiella quasipneumoniae
GCF_003181175.1	Klebsiella quasipneumoniae subsp. similipneumoniae
GCF_003285165.1	Klebsiella quasipneumoniae subsp. quasipneumoniae
GCF_003443835.1	Klebsiella quasipneumoniae
GCF_003990375.1	Klebsiella quasipneumoniae
GCF_001753185.1	Klebsiella sp. LTGPAF-6F
GCF_002090195.1	Klebsiella sp. M5al
GCF_004010915.1	Klebsiella sp. LY
GCF_002269255.1	Klebsiella quasivariicola
GCF_003790505.1	Klebsiella sp. P1CD1
GCF_003812845.1	Klebsiella sp. FDAARGOS_511
