Considering the following 462 assemblies for download:
GCF_900635935.1	Streptococcus equinus
GCF_900636465.1	Streptococcus equinus
GCF_900636565.1	Streptococcus equinus
GCF_000020765.1	Streptococcus equi subsp. zooepidemicus MGCS10565
GCF_000026605.1	Streptococcus equi subsp. zooepidemicus
GCF_000219765.1	Streptococcus equi subsp. zooepidemicus ATCC 35246
GCF_000696505.1	Streptococcus equi subsp. zooepidemicus CY
GCF_900474805.1	Streptococcus equi subsp. zooepidemicus
GCF_900474875.1	Streptococcus equi subsp. zooepidemicus
GCF_900475125.1	Streptococcus equi subsp. zooepidemicus
GCF_900475295.1	Streptococcus equi subsp. zooepidemicus
GCF_900475435.1	Streptococcus equi subsp. zooepidemicus
GCF_900636415.1	Streptococcus equi subsp. equi
GCF_000306805.1	Streptococcus intermedius JTH08
GCF_000463355.1	Streptococcus intermedius B196
GCF_000463385.1	Streptococcus intermedius C270
GCF_002073355.2	Streptococcus intermedius
GCF_002356055.1	Streptococcus intermedius
GCF_900475975.1	Streptococcus intermedius
GCF_900475415.1	Streptococcus porcinus
GCF_900636445.1	Streptococcus vestibularis
GCF_900475025.1	Streptococcus ferus
GCF_000831485.1	Streptococcus iniae
GCF_001885145.1	Streptococcus iniae
GCF_002220115.1	Streptococcus iniae
GCF_002787125.1	Streptococcus iniae
GCF_003589905.1	Streptococcus iniae
GCF_003589945.1	Streptococcus iniae
GCF_000213825.1	Streptococcus parauberis KCTC 11537
GCF_002900385.1	Streptococcus parauberis
GCF_000009545.1	Streptococcus uberis 0140J
GCF_002814135.1	Streptococcus uberis
GCF_900475595.1	Streptococcus uberis
GCF_900475695.1	Streptococcus uberis
GCF_000027165.1	Streptococcus mitis B6
GCF_001281025.1	Streptococcus mitis
GCF_001560895.1	Streptococcus mitis
GCF_900636525.1	Streptococcus milleri
GCF_900636715.1	Streptococcus milleri
GCF_000385925.1	Streptococcus cristatus AS 1.3089
GCF_900475445.1	Streptococcus cristatus ATCC 51100
GCF_900478185.1	Streptococcus cristatus
GCF_000283635.1	Streptococcus macedonicus ACA-DC 198
GCF_000463395.1	Streptococcus constellatus subsp. pharyngis C232
GCF_000463425.1	Streptococcus constellatus subsp. pharyngis C1050
GCF_000463445.1	Streptococcus constellatus subsp. pharyngis C818
GCF_900636365.1	Streptococcus viridans
GCF_002953735.1	Streptococcus pluranimalium
GCF_003352995.1	Streptococcus pluranimalium
GCF_000246835.1	Streptococcus infantarius subsp. infantarius CJ18
GCF_001477615.1	Streptococcus infantarius
GCF_900476055.1	Streptococcus australis
GCF_900636885.1	Streptococcus urinalis
GCF_000441535.1	Streptococcus lutetiensis 033
GCF_900475065.1	Streptococcus lutetiensis
GCF_900475675.1	Streptococcus lutetiensis
GCF_000270165.1	Streptococcus pasteurianus ATCC 43144
GCF_900478025.1	Streptococcus pasteurianus
GCF_000221985.1	Streptococcus pseudopneumoniae IS7493
GCF_000027185.1	Streptococcus gallolyticus UCN34
GCF_000203195.1	Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069
GCF_000270145.1	Streptococcus gallolyticus subsp. gallolyticus ATCC 43143
GCF_001477575.1	Streptococcus gallolyticus
GCF_002000985.1	Streptococcus gallolyticus subsp. gallolyticus DSM 16831
GCF_900475715.1	Streptococcus gallolyticus
GCF_900637075.1	Streptococcus pseudoporcinus
GCF_900187085.1	Streptococcus merionis
GCF_001553685.1	Streptococcus sp. oral taxon 431
GCF_000479335.1	Streptococcus sp. I-G2
GCF_000479315.1	Streptococcus sp. I-P16
GCF_003627155.1	Streptococcus sp. ChDC B345
GCF_001587175.1	Streptococcus sp. A12
GCF_001642085.1	Streptococcus pantholopis
GCF_001598035.1	Streptococcus halotolerans
GCF_001623565.1	Streptococcus marmotae
GCF_002073815.2	Streptococcus sp. FDAARGOS_192
GCF_001708305.1	Streptococcus himalayensis
GCF_002355895.1	Streptococcus sp. NPS 308
GCF_003609975.1	Streptococcus ruminantium
GCF_003595525.1	Streptococcus respiraculi
GCF_003086355.1	Streptococcus sp. Z15
GCF_003627135.1	Streptococcus sp. JS71
GCF_003812685.1	Streptococcus sp. FDAARGOS_520
GCF_003812465.1	Streptococcus sp. FDAARGOS_521
GCF_003812445.1	Streptococcus sp. FDAARGOS_522
GCF_003963555.1	Streptococcus sp. KCOM 2412
